session	srun	task	phase
archi	1	ArchiStandard	pa
archi	2	ArchiSpatial	pa
archi	3	ArchiSocial	pa
archi	4	ArchiEmotional	pa
archi	5	ArchiStandard	ap
archi	6	ArchiSpatial	ap
archi	7	ArchiSocial	ap
archi	8	ArchiEmotional	ap
hcp1	1	HcpEmotion	pa
hcp1	2	HcpGambling	pa
hcp1	3	HcpMotor	pa
hcp1	4	HcpLanguage	pa
hcp1	5	HcpEmotion	ap
hcp1	6	HcpGambling	ap
hcp1	7	HcpMotor	ap
hcp1	8	HcpLanguage	ap
hcp2	1	HcpRelational	pa
hcp2	2	HcpSocial	pa
hcp2	3	HcpWm	pa
hcp2	4	HcpRelational	ap
hcp2	5	HcpSocial	ap
hcp2	6	HcpWm	ap
rsvp-language	1	RSVPLanguage	pa
rsvp-language	2	RSVPLanguage	pa
rsvp-language	3	RSVPLanguage	pa
rsvp-language	4	RSVPLanguage	ap
rsvp-language	5	RSVPLanguage	ap
rsvp-language	6	RSVPLanguage	ap
mtt1	1	RestingState	pa
mtt1	2	RestingState	ap
mtt1	3	MTTWE	pa
mtt1	4	MTTWE	pa
mtt1	5	MTTWE	ap
mtt2	1	RestingState	pa
mtt2	2	RestingState	ap
mtt2	3	MTTNS	pa
mtt2	4	MTTNS	pa
mtt2	5	MTTNS	ap
preference	1	PreferenceFood	pa
preference	2	PreferencePaintings	pa
preference	3	PreferenceFaces	pa
preference	4	PreferenceHouses	pa
preference	5	PreferenceFood	ap
preference	6	PreferencePaintings	ap
preference	7	PreferenceFaces	ap
preference	8	PreferenceHouses	ap
tom	1	TheoryOfMind	pa
tom	2	EmotionalPain	pa
tom	3	PainMovie	pa
tom	4	TheoryOfMind	ap
tom	5	EmotionalPain	ap
tom	6	PainMovie	ap
enumeration	1	VSTM1	pa
enumeration	2	VSTM1	ap
enumeration	3	Enumeration	pa
enumeration	4	Enumeration	ap
enumeration	5	VSTM2	pa
enumeration	6	VSTM2	ap
self	1	Self1	pa
self	2	Self2	pa
self	3	Self3	ap
self	4	Self4	ap
self	5	Bang	pa
clips4	1	WedgeClock	pa
clips4	2	WedgeAnti	pa
clips4	3	ExpRing	pa
clips4	4	ContRing	ap
clips4	5	WedgeClock	ap
clips4	6	WedgeAnti	ap
lyon1	1	Moto	pa
lyon1	2	MCSE	pa
lyon1	3	MVEB	pa
lyon1	4	MVIS	pa
lyon1	5	Moto	ap
lyon1	6	MCSE	ap
lyon1	7	MVEB	ap
lyon1	8	MVIS	ap
lyon2	1	Lec1	pa
lyon2	2	Lec2	pa
lyon2	3	Audi	pa
lyon2	4	Visu	pa
lyon2	5	Lec1	ap
lyon2	6	Lec2	ap
lyon2	7	Audi	ap
lyon2	8	Visu	ap
